Time,Load in lbs,Left right Center of pressure in cm
0.365008964,199.1303393,0.017588989
0.366006315,199.1322467,0.017588618
0.367000764,199.1340162,0.017588143
0.36800294,199.1353154,0.017587378
0.369004685,199.1365693,0.017586604
0.370005661,199.1377953,0.017585461
0.371003601,199.1389609,0.017584074
0.372019713,199.1402814,0.017582163
0.373001257,199.1416638,0.017580182
0.374005115,199.1431615,0.017578453
0.375001625,199.1447045,0.017576912
0.376000566,199.1461556,0.017575547
0.37700083,199.147339,0.017574006
0.37800182,199.1482856,0.017572425
0.37899948,199.148944,0.017570714
0.380001405,199.1494169,0.017568683
0.380999651,199.1495765,0.017566549
0.381998124,199.1495719,0.01756372
0.382996461,199.1496294,0.017560851
0.383994795,199.149747,0.017557686
0.384998304,199.1497703,0.01755426
0.38599333,199.1499084,0.017550629
0.386998565,199.1501625,0.017547271
0.387992045,199.1504107,0.017543587
0.388985533,199.1506466,0.017540096
0.389990472,199.1507784,0.017536539
0.390990486,199.1508396,0.017532604
0.392015109,199.1505586,0.017528662
0.392991077,199.150018,0.017524622
0.393992038,199.1493719,0.017520025
0.395011442,199.1485583,0.017515687
0.395988888,199.1478267,0.017511059
0.397007915,199.1470175,0.017506498
0.397988586,199.146396,0.017502166
0.399007027,199.1459989,0.017498106
0.400009353,199.1456015,0.017494145
0.40100556,199.1451401,0.017490531
0.40198852,199.1444924,0.017487203
0.402987294,199.1436685,0.01748366
0.404009418,199.1430135,0.017480088
0.405003196,199.1422313,0.017476459
0.406004003,199.1413136,0.0174728
0.407002556,199.1403353,0.017469231
0.408002839,199.1396024,0.017465563
0.40900126,199.1386867,0.017461985
0.410002325,199.1377262,0.0174585
0.41100293,199.1369091,0.017455151
0.411999957,199.1361819,0.017452127
0.413000621,199.1353696,0.017449255
0.413998526,199.134605,0.017446508
0.4150037,199.1336064,0.017443835
0.416001204,199.132655,0.01744141
0.416998726,199.1315956,0.017438976
0.418000048,199.1304361,0.017436796
0.418997842,199.1290762,0.017434773
0.41999742,199.1277014,0.0174324
0.420997284,199.1265276,0.017429718
